REC_NUM,REC_TYPE,INV_NUM,INV_DATE,PAYER_ACC,PAYER_COMPANY,PAYER_ATTN,PAYER_ADDR,PAYER_CITY,PAYER_PROV,PAYER_POSTAL_CODE,PAYER_COUNTRY,INV_NET_AMT,INV_GST,INV_PST,INV_QST,INV_HST,INV_HST_BC,INV_HST_NB,INV_HST_NL,INV_HST_NS,INV_HST_ON,INV_TOTAL_AMT,CURRENCY,INV_DUE_DATE,NUM_OF_DETAIL_REC,NUM_OF_SHIPMENTS,NUM_OF_PCS,NUM_OF_PREPAID_ SHIPMENTS,PREPAID_ AMT,NUM_OF_COLLECT_ SHIPMENTS,COLLECT_AMT,NUM_OF_3RDPARTY_ SHIPMENTS,3RDPARTY_AMT,NUM_OF_ACCESSORIAL,ACCESSORIAL_AMT,FUEL_AMT,MAIL-TO_COMPANY,MAIL-TO_ATTN,MAIL-TO_ADDR1,MAIL-TO_ADDR2,MAIL-TO_CITY,MAIL-TO_PROV,MAIL-TO_POSTAL_CODE,MAIL-TO_COUNTRY,REMIT-TO_COMPANY,REMIT-TO_ADDR1,REMIT-TO_ADDR2,REMIT-TO_CITY,REMIT-TO_PROV,REMIT-TO_POSTAL_CODE,REMIT-TO_COUNTRY,SOLD-TO_ACC,SOLD-TO_COMPANY,SOLD-TO_ATTN,SOLD-TO_ADDR,SOLD-TO_CITY,SOLD-TO_PROV,SOLD-TO_POSTAL_CODE,SOLD-TO_COUNTRY,SOLD-TO_NET_AMT,SOLD-TO_GST,SOLD-TO_PST,SOLD-TO_QST,SOLD-TO_HST,SOLD-TO_HST_BC,SOLD-TO_HST_NB,SOLD-TO_HST_NL,SOLD-TO_HST_NS,SOLD-TO_HST_ON,SOLD-TO_TOTAL_AMT,SOLD-TO_NUM_OF_SHIPMENTS,SOLD-TO_NUM_OF_PCS,SOLD-TO_SHIPMENT_NET_AMT,SOLD-TO_AC_NET_AMT,SOLD-TO_FUEL_AMT,SOLD-TO_CONTRACT,SHIPPING_METHOD,SERVICE_DATE,BOL_MNFST_NUM,SHIPMENT_PIN,LINE_ITEM,SHIPPING_METHOD_DESC,BOL_MNFST_FLAG,ACTUAL_PRODUCT_NUM,ACTUAL_PRODUCT_DESC,ACTUAL_WGT,ACTUAL_WGT_UOM,METHOD_OF_PAYMENT,PIECES,DECLARED_PRODUCT_NUM,DECLARED_PRODUCT_DESC,DECLARED_WGT,DECLARED_WGT_UOM,RETURN_FLAG,CUSTOMER_REF1,CUSTOMER_REF2,CUSTOMER_REF3,CUSTOMER_REF4,CUSTOMER_REF5,SHIP-FROM_COMPANY,SHIP-FROM_ATTN,SHIP-FROM_ADDR,SHIP-FROM_CITY,SHIP-FROM_PROV,SHIP-FROM_POSTAL_CODE,SHIP-FROM_COUNTRY,SHIP-TO_COMPANY,SHIP-TO_ATTN,SHIP-TO_ADDR,SHIP-TO_CITY,SHIP-TO_PROV,SHIP-TO_POSTAL_CODE,SHIP-TO_COUNTRY,SHIPMENT_BASE_AMT,SHIPMENT_GST,SHIPMENT_PST,SHIPMENT_QST,SHIPMENT_HST,SHIPMENT_TOTAL_AMT,CUBING_FACTOR_1,FUEL_SURCHARGE,DNGR_GOODS,DNGR_GOODS_ACTUAL_FLAG,DNGR_GOODS_DECLARED_FLAG,COS_SURCHARGE,COS_ACTUAL_FLAG,COS_DECLARED_FLAG,EXPRESS_CHEQUE,EC_ACTUAL_FLAG,EC_DECLARED_FLAG,SATURDAY_DELIVERY,SAT_DELIV_ACTUAL_FLAG,SAT_DELIV_DECLARED_FLAG,SATURDAY_PICKUP,SAT_PICKUP_ACTUAL_FLAG,SAT_PICKUP_DECLARED_FLAG,SPECIAL_HANDLING,SH_ACTUAL_FLAG,SH_DECLARED_FLAG,COLLECT_3RDPARTY_SURCHARGE,COLLECT_3RDPARTY_ACTUAL_FLAG,COLLECT_3RDPARTY_DECLARED_FLAG,DECLARED_VALUE_SURCHARGE,DV_ACTUAL_FLAG,DV_DECLARED_FLAG,MULTI_PIECE_SURCHARGE,RESIDENTIAL_DELIVERY_SURCHARGE,BEYOND_ORIGIN_SURCHARGE,BEYOND_DEST_SURCHARGE,MISSING_ACCOUNT_SURCHARGE,AIR_CARGO_NAVCAN_SURCHARGE,AIR_CARGO_FUEL_SURCHARGE,AIR_CARGO_DNGR_GD_SURCHARGE,AIR_CARGO_DNGR_GD_ACTUAL_FLAG,AIR_CARGO_DNGR_GD_DECLARED_FLAG,PIECE_PIN,PCS_ACTUAL_WGT,PCS_ACTUAL_WGT_UOM,ACTUAL_WGT_FLAG,ACTUAL_HEIGHT,ACTUAL_WIDTH,ACTUAL_LENGTH,ACTUAL_DIMENSION_UOM,PCS_DECLARED_WGT,PCS_DECLARED_WGT_UOM,PCS_DECLARED_HEIGHT,PCS_DECLARED_WIDTH,PCS_DECLARED_LENGTH,DECLARED_DIMENSION_UOM,SPECIAL_HANDLING_FLAG,RESIDENTIAL_PICKUP_SURCHARGE,RESIDENTIAL_SIGNATURE,MANUAL_SHPT_FEE,ORIGIN_ZONE_ID,RATE_CODE,ORIGIN_BEYOND_RATE_CODE,DEST_BEYOND_RATE_CODE,GST_HST_TAX_NUM,QST_TAX_NUM
11,P,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725566,329019725566,1,Web Ship- Acct#,B,215,Purolator Express Pack 9AM,,,PP,,201,Purolator Express 10:30AM,,,N,ss05,ss05,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS05,REWEIGH  ME,1343 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329019725566,1,LB,1,0,0,0,,1,LB,0,0,0,IN,N,,,,,,,,,
12,S,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725574,329019725574,1,Web Ship- Acct#,B,216,Purolator Express Pack 10:30AM,4,LB,PP,1,201,Purolator Express 10:30AM,1,LB,N,ss06,ss06,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS06,REWEIGH  ME,1342 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,28.63,1.65,0,0,0,34.52,X,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,23,D09,,,104116280 RT0001,1003841452 TQ0001
13,P,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725574,329019725574,1,Web Ship- Acct#,B,216,Purolator Express Pack 10:30AM,,,PP,,201,Purolator Express 10:30AM,,,N,ss06,ss06,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS06,REWEIGH  ME,1342 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329019725574,4,LB,3,0,0,0,,1,LB,0,0,0,IN,N,,,,,,,,,
14,S,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725582,329019725582,1,Web Ship- Acct#,B,201,Purolator Express 10:30AM,1,LB,PP,1,201,Purolator Express 10:30AM,1,LB,N,ss07,ss07,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS07,REWEIGH  ME,6 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,23.69,1.38,0,0,0,28.92,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,23,D09,,,104116280 RT0001,1003841452 TQ0001
15,P,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725582,329019725582,1,Web Ship- Acct#,B,201,Purolator Express 10:30AM,,,PP,,201,Purolator Express 10:30AM,,,N,ss07,ss07,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS07,REWEIGH  ME,6 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329019725582,1,LB,1,0,0,0,IN,1,LB,0,0,0,IN,N,,,,,,,,,
16,S,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725590,329019725590,1,Web Ship- Acct#,B,201,Purolator Express 10:30AM,1,LB,PP,1,201,Purolator Express 10:30AM,1,LB,N,ss08,ss08,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS08,REWEIGH  ME,8 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,23.69,1.38,0,0,0,28.92,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,23,D09,,,104116280 RT0001,1003841452 TQ0001
17,P,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725590,329019725590,1,Web Ship- Acct#,B,201,Purolator Express 10:30AM,,,PP,,201,Purolator Express 10:30AM,,,N,ss08,ss08,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS08,REWEIGH  ME,8 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329019725590,1,LB,1,0,0,0,IN,1,LB,0,0,0,IN,N,,,,,,,,,
18,S,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725608,329019725608,1,Web Ship- Acct#,B,220,Purolator Express Box 9AM,7,LB,PP,1,201,Purolator Express 10:30AM,1,LB,N,ss09,ss09,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS09,REWEIGH  ME,9 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,39.13,2.21,0,0,0,46.42,X,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,23,D09,,,104116280 RT0001,1003841452 TQ0001
19,P,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725608,329019725608,1,Web Ship- Acct#,B,220,Purolator Express Box 9AM,,,PP,,201,Purolator Express 10:30AM,,,N,ss09,ss09,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS09,REWEIGH  ME,9 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329019725608,7,LB,3,0,0,0,,1,LB,0,0,0,IN,N,,,,,,,,,
20,S,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725616,329019725616,1,Web Ship- Acct#,B,221,Purolator Express Box 10:30AM,7,LB,PP,1,201,Purolator Express 10:30AM,1,LB,N,ss10,ss10,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS10,REWEIGH  ME,1 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,33.63,1.92,0,0,0,40.19,X,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,23,D09,,,104116280 RT0001,1003841452 TQ0001
21,P,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725616,329019725616,1,Web Ship- Acct#,B,221,Purolator Express Box 10:30AM,,,PP,,201,Purolator Express 10:30AM,,,N,ss10,ss10,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS10,REWEIGH  ME,1 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329019725616,7,LB,3,0,0,0,,1,LB,0,0,0,IN,N,,,,,,,,,
22,S,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725624,329019725624,1,Web Ship- Acct#,B,200,Purolator Express 9AM,20,LB,PP,2,202,Purolator Express,2,LB,N,ss11,ss11,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS11,REWEIGH  ME,2 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,61.95,3.44,0,0,0,72.3,X,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,23,D09,,,104116280 RT0001,1003841452 TQ0001
23,P,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725624,329019725624,1,Web Ship- Acct#,B,200,Purolator Express 9AM,,,PP,,202,Purolator Express,,,N,ss11,ss11,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS11,REWEIGH  ME,2 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329019725624,10,LB,3,0,0,0,,1,LB,0,0,0,IN,N,,,,,,,,,
24,P,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725624,329019725624,1,Web Ship- Acct#,B,200,Purolator Express 9AM,,,PP,,202,Purolator Express,,,N,ss11,ss11,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS11,REWEIGH  ME,2 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329019725632,10,LB,3,0,0,0,,1,LB,0,0,0,IN,N,,,,,,,,,
25,S,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725640,329019725640,1,Web Ship- Acct#,B,201,Purolator Express 10:30AM,10,LB,PP,1,202,Purolator Express,1,LB,N,ss12,ss12,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS12,REWEIGH  ME,3 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,38.64,2.18,0,0,0,45.86,X,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,23,D09,,,104116280 RT0001,1003841452 TQ0001
26,P,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,,,,,,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725640,329019725640,1,Web Ship- Acct#,B,201,Purolator Express 10:30AM,,,PP,,202,Purolator Express,,,N,ss12,ss12,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS12,REWEIGH  ME,3 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329019725640,10,LB,3,0,0,0,,1,LB,0,0,0,IN,N,,,,,,,,,
27,S,409168652,20101112,556348,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,CAD,20101126,82,82,90,82,2620.93,0,0,0,0,0,0,197.06,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,,MISSISSAUGA,ON,L5R 3T8,CA,PUROLATOR COURIER LTD.,P.O. BOX 1100,ETOBICOKE POST STN A,ETOBICOKE,ON,M9C 5K2,CA,,TEST ACCOUNT FOR CI 2010,,5995 AVEBURY RD,MISSISSAUGA,ON,L5R 3T8,CA,2817.99,135.68,0,0,12.58,12.58,0,0,0,0,2966.25,82,90,2620.93,0,197.06,9730045,ZONL,20101026,329019725657,329019725657,1,Web Ship- Acct#,B,215,Purolator Express Pack 9AM,4,LB,PP,1,202,Purolator Express,1,LB,N,ss13,ss13,,,,UAT14 ESO,UAT14  ESO,6205 AIRPORT RD,MISSISSAUGA,ON,L4V 1E1,CA,WHY WEIGHT SS13,REWEIGH  ME,11 WILTSHIRE BAY,WINNIPEG,MB,R2J 2L5,CA,34.05,1.93,0,0,0,40.65,X,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,23,D09,,,104116280 RT0001,1003841452 TQ0001
